id,label,unit,description,year,value,color,opacity,stroke,source,source_question_code,source_url,source_main_value,source_low_ci,source_high_ci,transform
romance,Romance,%,"CDC YRBS Explorer: high school students who ever had sexual intercourse; used as a romance/sexual-experience proxy, not a health score.",2019,38.4,#F5A623,0.2,#F5A623,CDC YRBS Explorer national high school chart data,H56,https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H56&LocationId=XX&Yr=9999,38.4,35.4,41.6,direct
romance,Romance,%,"CDC YRBS Explorer: high school students who ever had sexual intercourse; used as a romance/sexual-experience proxy, not a health score.",2021,30.0,#F5A623,0.2,#F5A623,CDC YRBS Explorer national high school chart data,H56,https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H56&LocationId=XX&Yr=9999,30.0,27.9,32.1,direct
romance,Romance,%,"CDC YRBS Explorer: high school students who ever had sexual intercourse; used as a romance/sexual-experience proxy, not a health score.",2022,30.8,#F5A623,0.2,#F5A623,CDC YRBS Explorer national high school chart data,H56,https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H56&LocationId=XX&Yr=9999,30.8,,,direct_interpolated_2022
community_attendance,Attendance,x/mo,GSS: religious service attendance converted to monthly-equivalent frequency as a community participation proxy.,2000,1.777,#9b8cff,0.2,#9b8cff,GSS 1972-2024 cumulative release R3,ATTEND,https://gssdataexplorer.norc.org/variables/attend/vshow,1.777,,,weighted_gss
community_attendance,Attendance,x/mo,GSS: religious service attendance converted to monthly-equivalent frequency as a community participation proxy.,2002,1.842,#9b8cff,0.2,#9b8cff,GSS 1972-2024 cumulative release R3,ATTEND,https://gssdataexplorer.norc.org/variables/attend/vshow,1.842,,,weighted_gss
community_attendance,Attendance,x/mo,GSS: religious service attendance converted to monthly-equivalent frequency as a community participation proxy.,2004,1.959,#9b8cff,0.2,#9b8cff,GSS 1972-2024 cumulative release R3,ATTEND,https://gssdataexplorer.norc.org/variables/attend/vshow,1.959,,,weighted_gss
community_attendance,Attendance,x/mo,GSS: religious service attendance converted to monthly-equivalent frequency as a community participation proxy.,2006,1.765,#9b8cff,0.2,#9b8cff,GSS 1972-2024 cumulative release R3,ATTEND,https://gssdataexplorer.norc.org/variables/attend/vshow,1.765,,,weighted_gss
community_attendance,Attendance,x/mo,GSS: religious service attendance converted to monthly-equivalent frequency as a community participation proxy.,2008,1.789,#9b8cff,0.2,#9b8cff,GSS 1972-2024 cumulative release R3,ATTEND,https://gssdataexplorer.norc.org/variables/attend/vshow,1.789,,,weighted_gss
community_attendance,Attendance,x/mo,GSS: religious service attendance converted to monthly-equivalent frequency as a community participation proxy.,2010,1.758,#9b8cff,0.2,#9b8cff,GSS 1972-2024 cumulative release R3,ATTEND,https://gssdataexplorer.norc.org/variables/attend/vshow,1.758,,,weighted_gss
community_attendance,Attendance,x/mo,GSS: religious service attendance converted to monthly-equivalent frequency as a community participation proxy.,2012,1.734,#9b8cff,0.2,#9b8cff,GSS 1972-2024 cumulative release R3,ATTEND,https://gssdataexplorer.norc.org/variables/attend/vshow,1.734,,,weighted_gss
